,pace_lap,num_laps,num_stints,overall_speed,GridPosition,Position,points finish?,finish?,top six finish?,places made
FIT_2020_Abu Dhabi,-1.2564682830195117,-0.03061998877908845,-0.3476528965082934,0.4538125643436958,17.0,19.0,0,1,0,-2.0
HAM_2020_Abu Dhabi,1.025195854656505,0.39805985412814987,1.6919107630070283,-0.05271728471790862,3.0,3.0,1,1,1,0.0
VER_2020_Abu Dhabi,1.2630652213762037,0.5205398092445037,0.41718347580995224,-0.38827266351010975,1.0,1.0,1,1,1,0.0
OCO_2020_Abu Dhabi,0.49617908677567585,0.8879796745935651,0.16223801837053703,-0.8986367443648541,10.0,9.0,1,1,0,1.0
KVY_2020_Abu Dhabi,0.10370933321468868,0.7654997194772113,-0.09270743906887818,0.5035872009873745,7.0,11.0,0,1,0,-4.0
ALB_2020_Abu Dhabi,0.8744178428335391,0.5817797868026806,0.16223801837053703,0.48511939786882,5.0,4.0,1,1,1,1.0
STR_2020_Abu Dhabi,0.3059306378331386,0.336819876569973,-0.3476528965082934,-0.28767644653265273,8.0,10.0,1,1,0,-2.0
LEC_2020_Abu Dhabi,0.41102832251170257,0.39805985412814987,1.436965305567613,0.9991214290780919,12.0,13.0,0,1,0,-1.0
PER_2020_Abu Dhabi,0.5595129083357379,0.5817797868026806,-0.09270743906887818,-0.06482651582279975,19.0,20.0,0,0,0,-1.0
GAS_2020_Abu Dhabi,0.3035313621417268,1.0104596297099189,0.16223801837053703,-0.11677408188227613,9.0,8.0,1,1,0,1.0
RAI_2020_Abu Dhabi,-0.42877697572963064,0.15309994389544226,0.16223801837053703,1.692409773979183,15.0,12.0,0,1,0,3.0
LAT_2020_Abu Dhabi,-0.9329424221205642,0.7042597419190344,0.9270743906887827,0.6000311793460836,18.0,17.0,0,1,0,1.0
VET_2020_Abu Dhabi,0.2454900604891909,0.21433992145361916,0.41718347580995224,0.6421731810272631,13.0,14.0,0,1,0,-1.0
NOR_2020_Abu Dhabi,0.7308141360093316,0.39805985412814987,0.9270743906887827,-1.224032676523896,4.0,5.0,1,1,1,-1.0
BOT_2020_Abu Dhabi,0.8562468578176996,0.7654997194772113,0.9270743906887827,-0.7052038718145007,2.0,2.0,1,1,1,0.0
MAG_2020_Abu Dhabi,-0.51592713687356,-0.8879796745935651,-1.3674347262659543,-0.4768587274095036,20.0,18.0,0,1,0,2.0
GIO_2020_Abu Dhabi,-0.258322551241241,-0.949219652151742,-1.112489268826539,-0.6859714550016609,14.0,16.0,0,1,0,-2.0
RIC_2021_Abu Dhabi,0.13065914653066074,0.2586626531833058,-0.5893888694788617,0.19679342308931602,10.0,12.0,0,1,0,-2.0
BOT_2021_Abu Dhabi,0.9564710464961359,0.8304432549569303,1.3147905549913064,-0.2775013308160825,6.0,6.0,1,1,1,0.0
SAI_2021_Abu Dhabi,0.12549551770637954,0.6398497210323888,0.9974273175796117,1.6397282546297427,5.0,3.0,1,1,1,2.0
MSC_2021_Abu Dhabi,-0.757632670396658,-0.12252441466577726,-0.5893888694788617,0.26768602211370346,19.0,14.0,0,1,0,5.0
HAM_2021_Abu Dhabi,1.7398674171794215,0.5445529540701181,1.9495170298146955,1.37187185021553,2.0,2.0,1,1,1,0.0
VER_2021_Abu Dhabi,1.0969955367175728,0.163365886221035,0.680064080167917,0.7677590860716559,1.0,1.0,1,1,1,0.0
OCO_2021_Abu Dhabi,0.39090607645256575,0.163365886221035,-0.5893888694788617,0.23166804497189447,9.0,9.0,1,1,0,0.0
TSU_2021_Abu Dhabi,0.4083886508265713,0.2586626531833058,0.680064080167917,-1.0104299132312846,8.0,4.0,1,1,1,4.0
STR_2021_Abu Dhabi,0.07422805203228847,0.3539594201455765,0.045337605344527646,-0.3487825950940251,13.0,13.0,0,1,0,0.0
LEC_2021_Abu Dhabi,0.41547019994009254,0.06806911925876424,0.680064080167917,-0.004820369700009847,7.0,10.0,1,1,0,-3.0
ALO_2021_Abu Dhabi,0.44988210266360973,0.163365886221035,-0.5893888694788617,-0.16839644676965734,11.0,8.0,1,1,0,3.0
PER_2021_Abu Dhabi,0.8474815796708483,0.2586626531833058,0.680064080167917,-0.05796732634229048,4.0,15.0,0,0,0,-11.0
GAS_2021_Abu Dhabi,0.5926195769830219,0.8304432549569303,0.36270084275622233,1.031090693469089,12.0,5.0,1,1,1,7.0
RAI_2021_Abu Dhabi,-0.2689688977577325,0.2586626531833058,-0.272025632067167,-0.9689456840779229,18.0,19.0,0,0,0,-1.0
LAT_2021_Abu Dhabi,-0.7744513495412709,-0.02722764770350651,0.9974273175796117,-0.1275928680467998,16.0,16.0,0,0,0,0.0
VET_2021_Abu Dhabi,-0.5303592035345862,0.9257400219192011,-0.272025632067167,-0.7728403307573817,15.0,11.0,0,1,0,4.0
NOR_2021_Abu Dhabi,0.14172406702053766,-0.3131179485903188,-0.5893888694788617,0.3372802813153222,3.0,7.0,1,1,0,-4.0
GIO_2021_Abu Dhabi,-0.10613015195270524,0.163365886221035,-0.9067521068905563,-0.5086779112841031,14.0,17.0,0,0,0,-3.0
