,pace_lap,num_laps,num_stints,overall_speed,GridPosition,Position,points finish?,finish?,top six finish?,places made
VER_2021_Mexico,1.9121583435713527,-0.1138046553846097,0.638877426297576,-0.7079005983771722,3.0,1.0,1,1,1,2.0
OCO_2021_Mexico,-1.2177733498815861,0.5039920452746984,-0.6168471702183487,0.4779740936547796,19.0,13.0,0,1,0,6.0
TSU_2021_Mexico,-0.3244690730839675,1.6366193298167633,1.0574522918028844,0.33924416935296536,17.0,20.0,0,0,0,-3.0
STR_2021_Mexico,0.03146853897059515,1.4306870962636606,0.638877426297576,-0.505802208919021,20.0,14.0,0,1,0,6.0
LEC_2021_Mexico,-0.35491922799098924,-0.4227030057142638,0.22030256079226782,-0.9087032381617257,8.0,5.0,1,1,1,3.0
ALO_2021_Mexico,-0.10207820592753995,-0.1138046553846097,-1.035422035723657,0.5307803426132482,12.0,9.0,1,1,0,3.0
PER_2021_Mexico,1.5888592552091407,-1.040499706373572,-0.6168471702183487,-0.07083388217502326,4.0,3.0,1,1,1,1.0
GAS_2021_Mexico,0.35388853736752407,0.19509369494504436,-0.6168471702183487,0.19265447648053835,5.0,4.0,1,1,1,1.0
MAZ_2021_Mexico,-1.7871238989069458,-0.21677077216116106,-0.19827230471304044,-1.0562054577589313,15.0,18.0,0,0,0,-3.0
RAI_2021_Mexico,0.13934400832633762,0.5039920452746984,-0.19827230471304044,-0.37521016317830935,10.0,8.0,1,1,0,2.0
LAT_2021_Mexico,-0.9263646271685486,-1.8642286405859827,-1.035422035723657,1.3775652914737264,13.0,17.0,0,1,0,-4.0
VET_2021_Mexico,-1.108167758878622,0.7099242788278012,-0.19827230471304044,0.12659823539583664,9.0,7.0,1,1,0,2.0
NOR_2021_Mexico,-0.2691799732832713,-0.4227030057142638,-0.19827230471304044,-0.1312259744024403,18.0,10.0,1,1,0,8.0
BOT_2021_Mexico,1.0670169327080359,0.5039920452746984,0.638877426297576,-0.8980300151766805,1.0,15.0,0,1,0,-14.0
GIO_2021_Mexico,0.09618446894517999,0.7099242788278012,0.638877426297576,1.7524863040590244,11.0,11.0,0,1,0,0.0
RIC_2020_Portugal,-0.14550149513492752,-2.3040884378451634,-1.0011209347049366,0.11941949983176657,10.0,9.0,1,1,0,1.0
RUS_2020_Portugal,-0.07759017324557131,-0.36380343755449945,0.48202119078385874,0.49034226374822315,14.0,14.0,0,1,0,0.0
SAI_2020_Portugal,1.0368184292842586,1.3339459376998313,-0.2595498719605389,-0.22052709410807902,7.0,6.0,1,1,1,1.0
HAM_2020_Portugal,1.7592530576805332,0.0,-0.6303354033327377,0.5706481924170471,1.0,1.0,1,1,1,0.0
VER_2020_Portugal,1.80550367481851,0.24253562503633297,-1.0011209347049366,0.07538965535697517,3.0,3.0,1,1,1,0.0
OCO_2020_Portugal,0.28478340682618497,-0.24253562503633297,-0.2595498719605389,0.20987859507829984,11.0,8.0,1,1,0,3.0
KVY_2020_Portugal,-1.8771744528589749,1.0914103126634984,0.48202119078385874,0.836760367942385,13.0,19.0,0,1,0,-6.0
