,pace_lap,num_laps,num_stints,overall_speed,pace_s1,pace_s2,pace_s3,soft_fastest_lap,medium_fastest_lap,GridPosition_std,GridPosition,Position_std,Position,points finish?,finish?,top six finish?,places made
RIC_2022_Abu Dhabi,-0.381905528,-2.174231807,0.05139738,-0.001100739,-0.523786004,-0.780229744,0.191382051,0.529869592,0.303996631,-0.422577128,13,0.253546277,9,1,1,0,4
BOT_2022_Abu Dhabi,-1.19927756,0.184256933,-1.182139742,-0.781386673,-1.710267072,-1.206841226,-0.780425784,0.311969555,-1.3750737,-1.267731383,18,-0.76063883,15,0,1,0,3
RUS_2022_Abu Dhabi,0.889547307,0.626473572,0.05139738,1.053478584,0.986667604,0.716364111,0.706638011,1.035871771,0.852971025,0.76063883,6,0.929669681,5,1,1,1,1
HAM_2022_Abu Dhabi,1.499685154,-0.700176345,2.518471625,0.703217196,1.030795947,0.475988113,1.910231268,1.193598576,0.686465278,0.929669681,5,-1.267731383,18,0,0,0,-13
OCO_2022_Abu Dhabi,0.448413655,0.626473572,-0.565371181,-0.614292207,0.063619374,0.677288209,0.213715127,0.449638616,0.868632457,0.422577128,8,0.591607979,7,1,1,0,1
ALB_2022_Abu Dhabi,-0.216756234,0.479068025,0.05139738,-0.183161537,1.213144471,0.645711724,-1.5480455,0.437786313,-1.046183635,-1.436762234,19,-0.422577128,13,0,1,0,6
TSU_2022_Abu Dhabi,-0.592888271,1.363501303,-0.565371181,0.268599701,-0.363805568,-0.357631112,-0.799568421,0.329292152,0.477920951,-0.084515426,11,-0.084515426,11,0,1,0,0
MAG_2022_Abu Dhabi,-1.231578975,-0.257959706,-0.565371181,-0.215887609,-1.495095813,-1.378538367,-0.728527969,0.159713043,-2.291679595,-0.929669681,16,-1.098700532,17,0,1,0,-1
LEC_2022_Abu Dhabi,0.767759007,1.216095756,1.284934503,0.535162394,-0.654469115,0.800436504,0.578701392,0.875409819,1.080473927,1.267731383,3,1.436762234,2,1,1,1,1
PER_2022_Abu Dhabi,1.566680682,-0.552770798,0.05139738,-0.786817739,1.17631007,1.860024955,1.053598294,1.41241033,1.232142529,1.436762234,2,1.267731383,3,1,1,1,-1
GAS_2022_Abu Dhabi,-0.689765932,0.184256933,-0.565371181,0.478306675,-0.04967984,-0.465780575,-1.04331799,0.266383773,0.263606623,-1.098700532,17,-0.591607979,14,0,1,0,3
VET_2022_Abu Dhabi,-0.859913306,-0.994987437,-0.565371181,-0.456118047,0.326565946,-0.986792591,0.245619521,0.473343222,-0.104024878,0.253546277,9,0.084515426,10,1,1,0,-1
RIC_2019_Australia,0.103516412,-1.491818051,0.132637071,0.261294268,0.133820689,0.063226307,0.188248768,0.109070971,-0.089821109,-0.253546277,12,-1.436762234,19,0,0,0,-7
BOT_2019_Australia,1.290380452,1.149943081,-1.193733639,-1.349951247,0.96988691,1.129710962,1.3492897,1.059090095,1.283979038,1.436762234,2,1.605793085,1,1,1,1,1
RUS_2019_Australia,-2.196625082,0.062159085,0.132637071,-0.224822987,-2.306378591,-2.367040502,-2.240102169,-2.084748292,-2.016689591,-1.436762234,19,-0.929669681,16,0,1,0,3
SAI_2019_Australia,-0.653833612,-1.181022624,1.459007781,1.328216865,-0.484384038,-0.235999418,-0.289228827,-0.277231986,-0.546468884,-1.267731383,18,-1.605793085,20,0,0,0,-2
HAM_2019_Australia,1.423250998,-0.248636342,-1.193733639,-0.610077667,1.69538095,0.987840225,1.552638061,1.398655163,1.508446103,1.605793085,1,1.436762234,2,1,1,1,-1
VER_2019_Australia,0.115491687,0.528352226,-0.530548284,-0.25886352,0.397286936,-0.072469187,-0.36352919,0.341806579,1.051026964,1.098700532,4,1.267731383,3,1,1,1,1
HUL_2019_Australia,0.363037132,-1.336420338,-1.856918993,-0.489909725,0.279981726,0.239921989,0.483103892,0.175839383,,-0.084515426,11,0.591607979,7,1,1,0,4
KVY_2019_Australia,0.33388178,1.616136222,0.132637071,0.32923911,0.331043994,0.395933058,0.280146585,0.301745532,0.404623526,-0.76063883,15,0.084515426,10,1,1,0,5
ALB_2019_Australia,0.024583973,0.839147654,0.795822426,0.563603164,-0.225998927,0.397685991,-0.34202119,-0.543351801,0.116133209,-0.422577128,13,-0.591607979,14,0,1,0,-1
MAG_2019_Australia,0.365646586,-0.714829483,-0.530548284,-1.16477213,0.351284893,0.467102152,0.497442559,0.404759654,0.535755488,0.591607979,7,0.76063883,6,1,1,1,1
STR_2019_Australia,-0.201239535,1.460738509,-1.193733639,0.085605958,-0.106059055,0.242843547,-0.468462157,-0.240986277,-0.142273894,-0.929669681,16,0.253546277,9,1,1,0,7
LEC_2019_Australia,0.91264444,-1.647215765,1.459007781,0.355583194,0.904982212,0.724900221,0.99538534,0.962752814,,0.929669681,5,0.929669681,5,1,1,1,0
